a_0_y,a_0_z,a_1_z,a_2_y,a_2_z
-0.020904292064592,9.75402853081533,9.49900449358082,0.0434270909221515,9.80085766531401
0.0568399391114435,9.68346002839008,9.43910562453841,0.0507510994231107,9.87834914779836
0.0369413452951657,9.70032476952882,9.45361199859756,0.0534036406618334,9.86573273680919
0.0473988021306665,9.69293055100763,9.44645025921207,0.0555207181582752,9.86687343802808
0.0435077004978205,9.70841692679052,9.45733583440055,0.0591450088993581,9.86546951135019
0.0526049008815992,9.70310726602142,9.4455063964465,0.0577105584195211,9.86952633114609
0.0450325376594676,9.70050029205526,9.44986309475825,0.0566328260888859,9.8732498806396
0.0434355553382196,9.70251245223914,9.45104620579466,0.0589770604969975,9.86865111778685
0.0439880254561458,9.70019310332279,9.44607468180299,0.0625171109022781,9.87017992776297
0.0437714721002048,9.70274619424685,9.44691189233074,0.0636309488672274,9.87074584312559
0.0457534648169797,9.70588764499782,9.455794652637,0.0665002660647543,9.86512980229435
0.0435324232145359,9.70089367718621,9.44684275408767,0.0645473145894608,9.87196606629512
0.0458635748337532,9.70319822057981,9.44847277727096,0.0690092477629149,9.86890387009402
0.0501284048953685,9.70226003815727,9.44892751942435,0.0671785413117061,9.86987828788611
0.0449766895303166,9.70341826935514,9.44789979243583,0.0695759286027661,9.86484340571574
0.0522892989570037,9.70215502177455,9.44457736222458,0.0726430555263998,9.87260534804493
0.0506482088774925,9.70323690858418,9.44691795345364,0.066819553257772,9.86711188050558
0.0446242738543226,9.69780852542391,9.44399471450867,0.0657062695707101,9.87053525902273
0.0444482882187521,9.70143551289427,9.44364421176313,0.0705357368611725,9.87066644492549
0.0482064159814567,9.69521537238559,9.43793439254295,0.0727030768307027,9.87026534063165
0.0480380822449377,9.69083226901722,9.43637915100593,0.0714373862647859,9.87363775194888
0.0487197197139744,9.6945838017433,9.43745759208498,0.0749532087421027,9.87175942174276
0.0501406656052479,9.69030355817597,9.43648698502928,0.0726603288214655,9.8666708156024
0.0499718649422531,9.68890854344967,9.43162482955879,0.0731201104056153,9.87421564181543
0.0530613020426718,9.69022219503828,9.43238747845463,0.0747445935083563,9.87164409565949
